Tarefa 6 - Integracao por Metodo do Trapezio com OpenMP
f(x)          : x^2
Intervalo     : [0, 2400000]
Tipo numerico : int64_t
Threads       : 4
Schedule      : static
Relogio       : CLOCK_MONOTONIC
Aquecimentos  : 3
Medicoes      : 20
Batch alvo    : 20.0 ms (adaptativo)

N          Versao       Integral               ErroAbsMedio         Validos   Media(ms)    Speedup   Batch  
---------------------------------------------------------------------------------------------------------------
24000      Sequencial   4608000004000000000    4000000000           20/20     0.024276     1.000     840    
24000      SemSync      3239910003000000000    2066165998700000000   4/20     0.149859     0.162     20     
24000      Critical     4608000004000000000    4000000000           20/20     1.510098     0.016     10     
24000      Atomic       4608000004000000000    4000000000           20/20     0.657847     0.037     29     
24000      Reduction    4608000004000000000    4000000000           20/20     0.079766     0.304     238    

120000     Sequencial   4608000000160000000    160000000            20/20     0.121317     1.000     206    
120000     SemSync      576072000080000000     4240740599952000000   0/20     0.106085     1.144     192    
120000     Critical     4608000000160000000    160000000            20/20     4.919007     0.025     5      
120000     Atomic       4608000000160000000    160000000            20/20     2.970264     0.041     8      
120000     Reduction    4608000000160000000    160000000            20/20     0.119469     1.015     184    

240000     Sequencial   4608000000040000000    40000000             20/20     0.245747     1.000     103    
240000     SemSync      2735985600020000000    3416380829987500000   0/20     0.242326     1.014     140    
240000     Critical     4608000000040000000    40000000             20/20     9.144015     0.027     3      
240000     Atomic       4608000000040000000    40000000             20/20     6.083695     0.040     4      
240000     Reduction    4608000000040000000    40000000             20/20     0.162831     1.509     143    

400000     Sequencial   4608000000014400000    14400000             20/20     0.391012     1.000     58     
400000     SemSync      72018360003600000      3473990765996220000   0/20     0.223065     1.753     105    
400000     Critical     4608000000014400000    14400000             20/20     15.391255    0.025     2      
400000     Atomic       4608000000014400000    14400000             20/20     9.872103     0.040     3      
400000     Reduction    4608000000014400000    14400000             20/20     0.194119     2.014     103    

800000     Sequencial   4608000000003600000    3600000              20/20     0.677399     1.000     33     
800000     SemSync      72009180000900000      3391194383999100000   0/20     0.311087     2.178     60     
800000     Critical     4608000000003600000    3600000              20/20     29.877780    0.023     1      
800000     Atomic       4608000000003600000    3600000              20/20     20.204172    0.034     2      
800000     Reduction    4608000000003600000    3600000              20/20     0.324910     2.085     66     

1200000    Sequencial   4608000000001600000    1600000              20/20     1.177407     1.000     22     
1200000    SemSync      72006120000400000      3499195751999600000   0/20     0.449955     2.617     48     
1200000    Critical     4608000000001600000    1600000              20/20     44.550875    0.026     1      
1200000    Atomic       4608000000001600000    1600000              20/20     31.542555    0.037     1      
1200000    Reduction    4608000000001600000    1600000              20/20     0.433428     2.716     46     

2400000    Sequencial   4608000000000400000    400000               20/20     1.874432     1.000     11     
2400000    SemSync      72003060000100000      3758397695999900000   0/20     0.834066     2.247     24     
2400000    Critical     4608000000000400000    400000               20/20     92.877570    0.020     1      
2400000    Atomic       4608000000000400000    400000               20/20     61.214450    0.031     1      
2400000    Reduction    4608000000000400000    400000               20/20     0.875025     2.142     24     

Resultados CSV: resultados.csv
Nota: ErroAbsMedio representa a media do erro absoluto das 20 medicoes.
Nota: o speedup de SemSync nao representa uma solucao funcionalmente valida.
